,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Bulgaria","Data source","Other alcoholic beverages","0.06","0.17","0.16","0.14","0.10","","","","",""
"Burkina Faso","Data source","Wine","0.08","0.06","0.04","0.04","0.04","","","","",""
"Burkina Faso","Data source","All types","7.28","7.25","7.23","7.09","7.03","6.93","5.49","5.57","5.32","5.44"
"Burkina Faso","Data source","Beer","1.00","1.00","1.00","0.91","0.88","0.85","0.67","0.63","0.53","0.46"
"Burkina Faso","Data source","Wine","","","","","","0.02","0.04","0.07","0.06","0.06"
"Burkina Faso","Data source","Other alcoholic beverages","5.88","5.88","5.88","5.88","5.88","5.78","4.55","4.67","4.60","4.80"
"Burkina Faso","Data source","Spirits","0.31","0.31","0.31","0.27","0.24","0.27","0.24","0.20","0.13","0.12"
"Burundi","Data source","All types","4.07","4.07","4.18","3.93","3.99","3.95","3.98","4.33","4.56","4.61"
"Burundi","Data source","Beer","1.84","1.84","1.94","1.69","1.76","1.70","1.73","1.66","1.63","1.63"
"Burundi","Data source","Wine","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.00","0.00"
"Burundi","Data source","Other alcoholic beverages","2.23","2.23","2.23","2.23","2.23","2.23","2.23","2.66","2.93","2.98"
"Burundi","Data source","Spirits","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00"
"Cabo Verde","Data source","Wine","1.82","2.02","2.18","2.03","1.70","1.45","1.20","1.48","1.60","1.81"
"Cabo Verde","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cabo Verde","Data source","Spirits","0.60","0.60","0.60","0.59","0.58","0.58","0.28","1.15","0.69","0.61"
"Cabo Verde","Data source","All types","4.70","4.90","5.06","4.89","4.54","4.31","3.73","4.93","5.09","4.93"
"Cabo Verde","Data source","Beer","2.28","2.28","2.28","2.27","2.26","","","","",""
"Cabo Verde","Data source","Beer","","","","","","2.28","2.25","2.30","2.80","2.51"
"Cambodia","Data source","All types","4.56","4.56","4.26","3.85","3.34","3.07","2.80","2.52","2.40","2.16"
"Cambodia","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cambodia","Data source","Beer","4.12","4.12","3.85","3.44","2.93","2.64","2.38","2.09","1.99","1.75"
"Cambodia","Data source","Wine","0.03","0.02","0.01","0.02","0.02","0.02","0.02","0.01","0.01","0.01"
"Cambodia","Data source","Spirits","0.41","0.42","0.40","0.39","0.40","0.40","0.41","0.41","0.40","0.39"
"Cameroon","Data source","Wine","0.16","0.17","0.16","0.14","0.16","0.12","0.10","0.12","0.12","0.10"
"Cameroon","Data source","All types","4.09","4.10","4.15","4.15","4.55","4.70","6.56","6.42","5.90","5.88"
"Cameroon","Data source","Beer","2.36","2.36","2.42","2.43","2.82","3.03","3.02","2.85","2.54","2.58"
"Cameroon","Data source","Other alcoholic beverages","1.56","1.56","1.56","1.56","1.56","","","","",""
"Cameroon","Data source","Other alcoholic beverages","","","","","","1.54","3.43","3.42","3.24","3.21"
"Cameroon","Data source","Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.03","0.00","0.00"
"Canada","Data source","All types","8.00","8.10","8.10","8.20","8.00","8.10","8.20","8.30","8.20","8.40"
"Canada","Data source","Wine","2.00","2.10","2.10","2.10","2.00","2.00","2.00","2.00","1.90","1.90"
